Date;Close;High;Low;Open;Log_Returns
06/13/2025;5016.05;5037.91;4874.18;4976.46;-0.011762568172874986
6/12/2025;4948.35;4951.47;4947.95;4951.47;-0.013588583703650368
6/11/2025;5207.36;5207.36;5206.94;5207.29;0.051018821810750986
6/10/2025;5274.69;5278.63;5274.69;5277.22;0.012846900372612725
6/09/2025;5268.66;5271.22;5268.66;5271.22;-0.0011438490911268692
6/06/2025;4960.15;5013.9;4815.87;4948.49;-0.0603400785565564
6/05/2025;4816.55;4816.55;4815.87;4815.87;-0.02937807807134157
6/04/2025;5012.83;5015.74;5012.83;5014.12;0.039942721733403096
6/03/2025;5037.9;5039.11;5037.9;5039.08;0.004988702709831485
6/02/2025;5071.22;5071.98;5071.21;5071.98;0.006592091232830356
05/30/2025;4996.99;5101.43;4954.89;5053.03;-0.014745688660420014
05/29/2025;5093.8;5093.83;5090.35;5090.35;0.019188382750434958
05/28/2025;5198.97;5198.97;5197.46;5197.46;0.0204364151347002
05/27/2025;5237.69;5238.29;5237.69;5238.03;0.007420032395428932
05/23/2025;5232.11;5279.01;5198.82;5203.35;-0.001065923041190674
05/22/2025;5353.45;5353.45;5351.37;5351.37;0.022926574489535497
05/21/2025;5252.49;5259.33;5252.49;5259.33;-0.019038963008354788
05/20/2025;5112.02;5112.74;5112.02;5112.32;-0.027107620449251295
05/19/2025;5081.95;5082.79;5081.92;5082.79;-0.005899583227277529
05/16/2025;5010.11;5071.25;4998.34;5037.84;-0.014237175259803827
05/15/2025;5018.9;5020.81;5018.9;5020.81;0.0017529152430322368
05/14/2025;5078.03;5078.03;5077.14;5077.14;0.011712604916168162
05/13/2025;5117.51;5161.54;4911.5;5046.94;0.007744601527771828
5/12/2025;4980.86;4980.86;4980.39;4980.39;-0.02706542574025823
5/09/2025;4945.75;4992.33;4903.39;4953.35;-0.007073944964215909
5/08/2025;4885.46;4885.74;4885.37;4885.74;-0.012265175050924755
5/07/2025;4541.06;4541.06;4539.58;4539.6;-0.073102981897926
5/06/2025;4556.5;4557.22;4556.5;4556.6;0.003394319976830741
5/05/2025;4448.0;4448.0;4447.57;4447.57;-0.024100228005763186
5/02/2025;4542.24;4603.84;4526.51;4556.51;0.02096572549761396
5/01/2025;4558.65;4560.14;4558.65;4560.14;0.003606244616588927
04/30/2025;4441.9;4441.9;4441.21;4441.21;-0.025944314225465944
04/29/2025;4454.76;4455.58;4454.76;4455.38;0.002890974580731292
04/28/2025;4488.14;4489.02;4488.14;4488.31;0.007465174612014201
04/25/2025;4472.79;4523.7;4380.99;4457.84;-0.003425987037968571
04/24/2025;4426.37;4426.84;4426.11;4426.84;-0.010432539929717322
04/23/2025;4412.37;4414.5;4411.61;4411.61;-0.0031678749930424753
04/22/2025;4386.66;4471.07;4373.39;4404.05;-0.005843842597967482
04/21/2025;4110.33;4110.71;4109.84;4110.71;-0.06506480021534927
04/17/2025;3993.29;4016.13;3978.8;4003.52;-0.028887864714433602
04/16/2025;3967.1;3967.53;3965.94;3965.94;-0.006580103361089994
04/15/2025;3945.79;3946.64;3945.66;3946.64;-0.005386161444985481
04/14/2025;4006.18;4006.78;4006.18;4006.78;0.015188981100076462
4/11/2025;3925.35;3966.01;3721.79;3855.66;-0.0203826496019759
4/10/2025;3748.14;3749.67;3747.95;3749.67;-0.046195802299680185
4/09/2025;3902.07;3903.8;3902.07;3903.8;0.04024746462457449
4/08/2025;3595.0;3595.22;3593.83;3593.83;-0.08196319038519405
4/07/2025;3728.15;3731.87;3728.15;3731.87;0.03636814089238875
4/04/2025;4030.78;4046.33;3890.21;3953.91;0.07804777355221715
4/03/2025;3978.67;3978.67;3976.94;3976.94;-0.013012313023062867
4/02/2025;3962.28;3962.28;3960.53;3960.53;-0.0041279754372060395
4/01/2025;4083.42;4084.15;4083.42;4084.15;0.030115255429839023
03/31/2025;3970.37;3972.44;3970.37;3972.44;-0.02807558323839991
03/28/2025;4065.27;4252.78;4030.02;4122.08;0.023620872109439736
03/27/2025;4222.57;4223.36;4222.57;4223.36;0.03796378596090087
03/26/2025;4237.01;4237.01;4235.11;4235.11;0.003413884383001167
03/25/2025;4290.93;4290.93;4290.37;4290.55;0.012645660860494816
03/24/2025;4286.83;4286.84;4286.72;4286.72;-0.0009559606032894543
03/21/2025;4109.08;4144.74;4051.95;4079.23;-0.04234837289029913
03/20/2025;4113.98;4114.7;4113.98;4114.61;0.0011917706012026007
03/19/2025;4249.63;4249.73;4247.84;4247.84;0.032440990552720116
03/18/2025;4037.84;4039.8;4037.68;4039.8;-0.051122024793373314
03/17/2025;4071.45;4073.37;4071.45;4073.37;0.008289305833752448
03/14/2025;4107.92;4147.82;3944.27;4050.82;0.008917616316662037
03/13/2025;3945.4;3945.4;3944.27;3944.27;-0.04036647435236639
3/12/2025;4052.63;4054.64;4052.63;4054.57;0.026815709749146384
3/11/2025;4013.85;4016.62;4013.85;4015.32;-0.009615172608650512
3/10/2025;3754.94;3758.86;3754.94;3758.86;-0.0666785740747632
3/07/2025;4238.29;4487.86;4214.52;4410.76;0.12108757961563127
3/06/2025;4300.28;4300.28;4300.09;4300.22;0.014520250849618265
3/05/2025;4455.45;4457.54;4455.45;4455.8;0.03544792906399231
3/04/2025;4315.46;4317.92;4315.46;4317.92;-0.03192414220236579
3/03/2025;4213.07;4215.41;4213.07;4215.41;-0.02401232562284495
02/28/2025;4148.44;4196.68;3854.74;4044.02;-0.015459238138720402
02/27/2025;4108.64;4108.64;4106.43;4106.43;-0.009640286453406276
02/26/2025;4218.79;4220.71;4218.79;4220.71;0.026456283569966908
02/25/2025;4379.17;4379.17;4377.43;4377.48;0.03731085163926353
02/24/2025;4512.89;4513.06;4512.04;4513.06;0.030078537802735457
02/21/2025;4781.21;4994.33;4723.49;4975.95;0.057755906027407315
02/20/2025;4903.52;4903.52;4903.41;4903.41;0.025259662016560405
