Date;Close;High;Low;Open;Volume;Log_Returns;Monetary_Volume;Bid_Ask_Spread;Capitalizacion_Mercado
17/05/2023;27.398.802.734.375;27.465.927.734.375;2.660.014.453.125;27.035.470.703.125;15140006925;0.013305949198470446;414818063135146.44;865.783.203.125;414818063135146.44
18/05/2023;26.832.208.984.375;2.746.652.734.375;264.151.015.625;27.401.650.390.625;15222938600;-0.020896322938492334;408465069871509.0;105.142.578.125;408465069871509.0
19/05/2023;2.689.012.890.625;27.128.619.140.625;267.002.109.375;2.682.675.390.625;11258983301;0.0021562704301694635;302755512317206.1;428.408.203.125;302755512317206.1
20/05/2023;271.295.859.375;27.155.158.203.125;2.684.327.734.375;26.888.841.796.875;7044911360;0.008865600285434393;191125528163190.0;311.880.859.375;191125528163190.0
21/05/2023;26.753.826.171.875;2.726.591.796.875;26.706.921.875;27.118.423.828.125;8647416921;-0.01394736681453699;231351489140164.53;55.899.609.375;231351489140164.53
22/05/2023;2.685.127.734.375;27.045.734.375;26.549.734.375;26.749.892.578.125;11056770492;0.0036358955711424203;296888411006883.1;496.0;296888411006883.1
23/05/2023;272.257.265.625;2.743.468.359.375;268.161.796.875;268.559.609.375;13697203143;0.013848962643426162;372916307442333.56;61.850.390.625;372916307442333.56
24/05/2023;26.334.818.359.375;27.224.603.515.625;26.106.576.171.875;27.224.603.515.625;16299104428;-0.03327040018789596;429233954531864.75;111.802.734.375;429233954531864.75
25/05/2023;2.647.620.703.125;2.659.151.953.125;2.589.059.375;263.294.609.375;13851122697;0.005354526205137628;366725192141017.9;70.092.578.125;366725192141017.9
26/05/2023;26.719.291.015.625;26.916.669.921.875;2.634.394.921.875;26.474.181.640.625;12711619225;0.009139332662057487;339645453352588.5;572.720.703.125;339645453352588.5
27/05/2023;26.868.353.515.625;268.888.828.125;26.621.140.625;26.720.181.640.625;7892015141;0.00556333034484893;212045452759053.1;2.677.421.875;212045452759053.1
28/05/2023;28.085.646.484.375;2.819.344.921.875;26.802.751.953.125;26.871.158.203.125;14545229578;0.04430949975360071;408512175961782.94;1.390.697.265.625;408512175961782.94
29/05/2023;27.745.884.765.625;284.320.390.625;27.563.876.953.125;28.075.591.796.875;15181308984;-0.012171112107334788;421218849661411.56;868.162.109.375;421218849661411.56
